#=== laboratory ================================================================================================================
#                 name
#  
LABORATORY        "JLab" 
#===============================================================================================================================

#=== collaboration =============================================================================================================
#                 name
#
COLLABORATION     "CLAS"
#===============================================================================================================================
   
#=== experiment ================================================================================================================
#                 year        process                         type                 reference
#
EXPERIMENT        "2015"      "e + p -> e + p + gamma"        "fixed target"       "Phys. Rev. D91, 052014 (2015)"
#===============================================================================================================================
 
#==== data ======================================================================================================================
# bin        xB         t        Q2     Ebeam       phi      obs.     value     stat-     stat+      sys-      sys+   err_tot
#
   13   0.33700  -0.24000   2.73000   5.93200 271.00000       Alu  -0.26000   0.06000   0.06000   0.03000   0.03000   0.06708
   13   0.33600  -0.24000   2.69000   5.93200 309.00000       Alu  -0.26000   0.03000   0.03000   0.02000   0.02000   0.03606
   13   0.33800  -0.24000   2.68000   5.93200 341.00000       Alu  -0.04000   0.03000   0.03000   0.00000   0.00000   0.03000
   14   0.35600  -0.44000   2.81000   5.93200  20.00000       Alu   0.09000   0.03000   0.03000   0.01000   0.01000   0.03162
   14   0.34600  -0.46000   2.74000   5.93200  51.00000       Alu   0.20000   0.03000   0.03000   0.01000   0.01000   0.03162
   14   0.34600  -0.45000   2.68000   5.93200  90.00000       Alu   0.15000   0.05000   0.05000   0.02000   0.02000   0.05385
   14   0.34900  -0.47000   2.24000   5.93200 126.00000       Alu   0.07000   0.05000   0.05000   0.01000   0.01000   0.05099
   14   0.33900  -0.49000   2.25000   5.93200 162.00000       Alu   0.06000   0.06000   0.06000   0.01000   0.01000   0.06083
   14   0.33900  -0.49000   2.23000   5.93200 202.00000       Alu  -0.13000   0.06000   0.06000   0.02000   0.02000   0.06325
   14   0.34700  -0.47000   2.43000   5.93200 232.00000       Alu  -0.06000   0.06000   0.06000   0.01000   0.01000   0.06083
   14   0.34400  -0.47000   2.72000   5.93200 271.00000       Alu  -0.22000   0.05000   0.05000   0.02000   0.02000   0.05385
   14   0.34700  -0.45000   2.77000   5.93200 309.00000       Alu  -0.21000   0.03000   0.03000   0.01000   0.01000   0.03162
   14   0.35500  -0.45000   2.77000   5.93200 340.00000       Alu  -0.15000   0.02000   0.02000   0.01000   0.01000   0.02236
   15   0.35200  -1.30000   2.59000   5.93200  20.00000       Alu   0.02000   0.03000   0.03000   0.00000   0.00000   0.03000
   15   0.34800  -1.09000   2.59000   5.93200  52.00000       Alu   0.13000   0.04000   0.04000   0.01000   0.01000   0.04123
   15   0.35000  -1.28000   2.28000   5.93200  87.00000       Alu   0.12000   0.06000   0.06000   0.02000   0.02000   0.06325
   15   0.35300  -1.09000   2.27000   5.93200 129.00000       Alu   0.08000   0.06000   0.06000   0.03000   0.03000   0.06708
   15   0.34500  -1.06000   2.33000   5.93200 161.00000       Alu  -0.00000   0.06000   0.06000   0.02000   0.02000   0.06325
   15   0.34700  -1.06000   2.29000   5.93200 201.00000       Alu  -0.00000   0.06000   0.06000   0.02000   0.02000   0.06325
   15   0.35200  -1.23000   2.33000   5.93200 236.00000       Alu  -0.01000   0.06000   0.06000   0.02000   0.02000   0.06325
   15   0.34700  -1.23000   2.25000   5.93200 269.00000       Alu  -0.04000   0.05000   0.05000   0.01000   0.01000   0.05099
   15   0.34900  -1.09000   2.61000   5.93200 308.00000       Alu  -0.11000   0.05000   0.05000   0.01000   0.01000   0.05099
   15   0.35200  -1.28000   2.57000   5.93200 340.00000       Alu  -0.02000   0.03000   0.03000   0.00000   0.00000   0.03000
   16   0.41400  -0.27000   3.21000   5.93200  19.00000       Alu  -0.24000   0.18000   0.18000   0.02000   0.02000   0.18111
   16   0.41400  -0.27000   3.16000   5.93200  51.00000       Alu   0.22000   0.21000   0.21000   0.09000   0.09000   0.22847
   17   0.44300  -0.51000   3.36000   5.93200  17.00000       Alu   0.07000   0.04000   0.04000   0.01000   0.01000   0.04123
   17   0.44400  -0.49000   3.41000   5.93200  52.00000       Alu   0.21000   0.05000   0.05000   0.02000   0.02000   0.05385
   17   0.44800  -0.49000   3.25000   5.93200  89.00000       Alu   0.24000   0.07000   0.07000   0.03000   0.03000   0.07616
   17   0.43000  -0.53000   2.84000   5.93200 124.00000       Alu   0.12000   0.09000   0.09000   0.05000   0.05000   0.10296
   17   0.42000  -0.57000   2.93000   5.93200 155.00000       Alu  -0.08000   0.24000   0.24000   0.08000   0.08000   0.25298
   17   0.42100  -0.58000   2.94000   5.93200 207.00000       Alu  -0.44000   0.23000   0.23000   0.06000   0.06000   0.23770
   17   0.43500  -0.50000   2.95000   5.93200 238.00000       Alu  -0.04000   0.11000   0.11000   0.05000   0.05000   0.12083
   17   0.44000  -0.48000   3.33000   5.93200 271.00000       Alu  -0.08000   0.08000   0.08000   0.02000   0.02000   0.08246
   17   0.44500  -0.50000   3.46000   5.93200 310.00000       Alu  -0.28000   0.05000   0.05000   0.02000   0.02000   0.05385
   17   0.44300  -0.52000   3.35000   5.93200 342.00000       Alu  -0.08000   0.03000   0.03000   0.01000   0.01000   0.03162
   18   0.46500  -1.12000   3.37000   5.93200  18.00000       Alu   0.06000   0.03000   0.03000   0.01000   0.01000   0.03162
   18   0.46500  -1.13000   3.46000   5.93200  52.00000       Alu   0.21000   0.05000   0.05000   0.02000   0.02000   0.05385
   18   0.45900  -1.27000   3.18000   5.93200  89.00000       Alu  -0.00000   0.07000   0.07000   0.02000   0.02000   0.07280
   18   0.45600  -1.15000   3.13000   5.93200 126.00000       Alu   0.11000   0.06000   0.06000   0.01000   0.01000   0.06083
   18   0.43400  -1.18000   3.30000   5.93200 159.00000       Alu   0.07000   0.11000   0.11000   0.09000   0.09000   0.14213
   18   0.43000  -1.09000   3.11000   5.93200 203.00000       Alu  -0.10000   0.13000   0.13000   0.03000   0.03000   0.13342
   18   0.45500  -1.25000   3.16000   5.93200 236.00000       Alu  -0.06000   0.07000   0.07000   0.01000   0.01000   0.07071
   18   0.45400  -1.35000   3.12000   5.93200 269.00000       Alu  -0.02000   0.06000   0.06000   0.02000   0.02000   0.06325
   18   0.46700  -1.10000   3.49000   5.93200 310.00000       Alu  -0.31000   0.06000   0.06000   0.04000   0.04000   0.07211
   18   0.46400  -1.15000   3.36000   5.93200 342.00000       Alu  -0.07000   0.03000   0.03000   0.01000   0.01000   0.03162
#================================================================================================================================
