Triangle553	598	620	445	
Triangle554	627	620	528	
Triangle555	566	582	608	
Triangle556	201	558	316	
Triangle557	602	600	639	
Triangle558	556	547	291	
Triangle559	275	591	552	
Triangle560	284	653	652	
Triangle561	602	590	201	
Triangle562	778	542	-1	
Triangle563	696	678	631	
Triangle564	180	361	546	
Triangle565	575	607	634	
Triangle566	575	635	555	
Triangle567	589	607	590	
Triangle568	711	716	713	
Triangle569	729	702	136	
Triangle570	644	702	645	
Triangle571	585	551	550	
Triangle572	268	469	588	
Triangle573	315	574	647	
Triangle574	573	146	641	
Triangle575	636	566	565	
Triangle576	543	420	595	
Triangle577	402	666	173	
Triangle578	733	524	764	
Triangle579	598	636	528	
Triangle580	158	619	522	
Triangle581	172	665	326	
Triangle582	440	670	555	
Triangle583	438	440	708	
Triangle584	445	440	635	
Triangle585	374	571	340	
Triangle586	340	595	529	
Triangle587	542	778	593	
Triangle588	572	448	451	
Triangle589	634	567	602	
Triangle590	567	530	561	
Triangle591	559	252	405	
Triangle592	658	192	727	
Triangle593	599	597	587	
Triangle594	630	629	677	
Triangle595	586	576	751	
Triangle596	343	617	688	
Triangle597	633	593	636	
Triangle598	553	635	579	
Triangle599	593	780	528	
Triangle600	619	557	316	
Triangle601	219	542	638	
Triangle602	557	589	561	
Triangle603	219	640	637	
Triangle604	691	615	431	
Triangle605	757	379	758	
Triangle606	627	625	631	
Triangle607	608	567	565	
Triangle608	419	607	555	
Triangle609	611	704	768	
Triangle610	768	763	413	
Triangle611	609	725	646	
Triangle612	648	153	309	
Triangle613	527	389	614	
Triangle614	670	438	613	
Triangle615	604	716	671	
Triangle616	189	340	226	
Triangle617	621	596	710	
Triangle618	708	445	709	
Triangle619	600	580	624	
Triangle620	553	554	710	
Triangle621	627	678	617	
Triangle622	637	158	-1	
Triangle623	779	519	-1	
Triangle624	639	619	637	
Triangle625	779	606	780	
Triangle626	684	680	694	
Triangle627	606	621	554	
Triangle628	682	674	690	
Triangle629	676	594	-1	
Triangle630	675	779	594	
Triangle631	606	675	563	
Triangle632	711	714	690	
Triangle633	638	597	654	
Triangle634	654	565	589	
Triangle635	598	584	566	
Triangle636	579	575	597	
Triangle637	624	622	603	
Triangle638	633	640	601	
Triangle639	655	557	624	
Triangle640	638	655	603	
Triangle641	574	650	153	
Triangle642	725	768	-1	
Triangle643	728	646	326	
Triangle644	570	703	292	
Triangle645	721	703	570	
Triangle646	643	611	356	
Triangle647	659	573	648	
Triangle648	612	658	647	
Triangle649	652	297	651	
Triangle650	641	252	261	
Triangle651	153	261	649	
Triangle652	649	361	560	
Triangle653	560	336	297	
Triangle654	655	633	634	
Triangle655	654	639	640	
Triangle656	657	727	-1	
Triangle657	656	659	658	
Triangle658	648	592	657	
Triangle659	657	-1	647	
Triangle660	155	239	170	
Triangle661	314	537	166	
Triangle662	729	722	724	
Triangle663	764	761	765	
Triangle664	666	130	284	
Triangle665	375	317	581	
Triangle666	667	664	577	
Triangle667	325	669	666	
Triangle668	254	288	266	
Triangle669	266	375	667	
Triangle670	582	614	465	
Triangle671	672	615	-1	
Triangle672	452	527	671	
Triangle673	-1	782	783	
Triangle674	687	628	689	
Triangle675	677	631	630	
Triangle676	629	679	525	
Triangle677	675	594	525	
Triangle678	688	621	563	
Triangle679	676	695	694	
Triangle680	696	525	626	
Triangle681	696	689	697	
Triangle682	714	697	628	
Triangle683	684	685	687	
Triangle684	689	626	683	
Triangle685	693	683	692	
Triangle686	692	695	781	
Triangle687	-1	674	683	
Triangle688	596	678	697	
Triangle689	684	674	681	
Triangle690	632	628	-1	
Triangle691	708	713	604	
Triangle692	685	694	686	
Triangle693	685	781	-1	
Triangle694	692	626	679	
Triangle695	-1	686	679	
Triangle696	563	680	681	
Triangle697	682	688	681	
Triangle698	331	341	287	
Triangle699	287	321	258	
Triangle700	321	307	237	
Triangle701	237	717	165	
Triangle702	705	569	570	
Triangle703	227	644	645	
Triangle704	246	609	728	
Triangle705	702	292	762	
Triangle706	740	785	470	
Triangle707	382	739	484	
Triangle708	691	583	618	
Triangle709	618	710	712	
Triangle710	620	617	709	
Triangle711	715	568	632	
Triangle712	713	709	343	
Triangle713	712	568	691	
Triangle714	343	682	632	
Triangle715	716	711	-1	
Triangle716	715	615	568	
Triangle717	701	719	722	
Triangle718	327	723	733	
Triangle719	717	31	290	
Triangle720	21	721	724	
Triangle721	645	729	720	
Triangle722	717	662	734	
Triangle723	165	734	718	
Triangle724	662	290	720	
Triangle725	642	727	611	
Triangle726	524	762	763	
Triangle727	725	656	592	
Triangle728	643	761	704	
Triangle729	662	721	569	
Triangle730	761	326	348	
Triangle731	28	19	65	
Triangle732	256	794	793	
Triangle733	578	765	718	
